name_spanish,original_name,director,country,year,duration,rating
Magnolia,Magnolia,Paul Thomas Anderson, Estados Unidos, 1999, 188 mins,4.14
El chef,Boiling Point,Philipe Barantini, Reino Unido, 2021, 92 mins,4.0
Vivir su vida,Vivre sa vie – Film en douze tableaux,Jean-Luc Godard, Francia, 1962, 80 mins,3.99
La ruleta de la fortuna y la fantasía,Gūzen to Sōzō,Ryūsuke Hamaguchi, Japón, 2021, 121 mins,3.99
Sólo una mujer,Nur eine Frau,Sherry Hormann, Alemania, 2019, 90 mins,3.68
¡Queridos camaradas!,Dorogie tovarishchi!,Andréi Konchalovski, Rusia, 2020, 120 mins,3.64
Sobre lo infinito,Om det oandliga,Roy Andersson, Suecia-Noruega-Alemania, 2019, 76 mins,3.56
El amor de Anaïs,Les amours d'Anais,Charline Bourgeois-Tacquet, Francia, 2021, 98 mins,3.54
Pirotecnia,Pirotecnia,Federico Atehortúa, Colombia, 2019, 83 mins,3.53
La cueva,Il buco,Michelangelo Frammartino, Italia-Francia-Alemania, 2021, 93 mins,3.51
Fruto de la memoria,Mila (Apples),Christos Nikou, Grecia-Polonia-Eslovenia, 2020, 90 mins,3.51
"Nanook, el esquimal",Nanook of the North,Robert Flaherty, EUA-Francia, 1922, 79 mins,3.49
Entre dos amaneceres,İki Safak Arasinda,Selman Nacar, Turquía-Francia-Rumania-España, 2021, 91 mins,3.38
Mientras esté vivo,De son vivant,Emmanuelle Bercot, Francia, 2020, 124 mins,3.35
Asia,Asia,Ruthy Pribar, Israel, 2020, 85 mins,3.35
Temporada de campo,Temporada de campo,Isabel Vaca, México, 2021, 67 mins,3.34
También en el cielo,Du som er i himlen,Tea Lindeburg, Dinamarca, 2021, 86 mins,3.28
De nuevo otra vez   ,Again once again,Romina Paula, Argentina, 2019, 84 mins,3.26
Huachicolero,Huachicolero,Edgar Nito, México, 2019, 98 mins,3.23
Bienvenidos a bordo,Rien a foutre,Julie Lecoustre,  Emmanuel  Marre, Francia,c,3.22
La trampa,Huda's Salon,Hany Abu-Assad, Egipto-Países Bajos-Palestina, 2021, 91 mins,3.19
Cigüeñas,Cigueñas,Heriberto Acosta, México, 2019, 86 mins,3.19
Habitación 212,Chambre 212,Christophe Honoré, Francia-Luxemburgo-Bélgica, 2019, 86 mins,3.17
Los Muppets en el espacio,Muppets from Space,Tim Hill, Estados Unidos, 1999, 88 mins,3.13
Vincent y yo,Vincent et moi,Michael Rubbo, Canadá-Francia, 1990, 100 mins,3.11
Amigos y extraños,Friends and Strangers,James Vaughan, Australia, 2021, 84 mins,3.01
50 (o Dos ballenas se encuentran en la playa),50 (o Dos ballenas se encuentran en la playa),Jorge Cuchí, México, 2020, 122 mins,3.0
El prodigio,Au bout des doigts,Ludovic Bernard, Francia-Bélgica, 2018, 105 mins,2.87
Usuarios,Users,Natalia Almada, Estados Unidos-México, 2021, 81 mins,2.8
Cinema Planeta 2022: cortos mexicanos 1,CINEMA PLANETA 2022: CORTOS MEXICANOS 1,Varios, México, 2021-2022, 74 mins,
El secreto del Doctor Grinberg,El secreto del doctor Grinberg,Ida Cuéllar, España-México-Reino Unido-Estados Unidos, 2020, 92 mins,
Los árboles mueren de pie,Los árboles mueren de pie,Ronan Kerneur, Fany Fulchiron, México,i,
Remedios Varo. Misterio y revelación,Remedios Varo. Misterio y revelación,Tufic Makhlouf Akl, México-Francia, 2013, 67 mins,
Tolvanera,Tolvanera,A.R. Melgoza, México, 2021, 59 mins,
Transición,Transition,Alejandro Torres Kennedy, México, 2021, 86 mins,
